id,genre
1,"War"
1,"Drama"
1,"Historical"
2,"Sci-Fi"
2,"Horror"
2,"Thriller"
3,"Drama"
3,"Crime"
3,"Thriller"
4,"Drama"
4,"Romance"
4,"Classic"
5,"Thriller"
5,"Mystery"
5,"Crime"
6,"Action"
6,"Adventure"
6,"Sci-Fi"
7,"Action"
7,"Adventure"
7,"Sci-Fi"
8,"War"
8,"Drama"
8,"History"
9,"Drama"
9,"Crime"
9,"Thriller"
10,"Romance"
10,"Drama"
10,"Classic"
11,"Comedy"
11,"Silent"
11,"Classic"
12,"Animation"
12,"Family"
12,"Adventure"
13,"Western"
13,"Drama"
13,"Action"
14,"Comedy"
14,"War"
14,"Satire"
15,"Romance"
15,"Drama"
15,"Sci-Fi"
16,"Drama"
16,"Thriller"
16,"Psychological"
17,"Drama"
17,"Thriller"
17,"Crime"
18,"Action"
18,"Adventure"
18,"Sci-Fi"
19,"Drama"
19,"Romance"
19,"Biography"
20,"Crime"
20,"Drama"
20,"Biography"
21,"Animation"
21,"War"
21,"Family"
22,"Western"
22,"Drama"
22,"Action"
23,"War"
23,"Action"
23,"Drama"
24,"Drama"
24,"Fantasy"
24,"Classic"
25,"Comedy"
25,"Drama"
25,"Romance"
26,"Comedy"
26,"Drama"
26,"Family"
27,"Drama"
27,"War"
27,"History"
28,"Comedy"
28,"Drama"
28,"Classic"
29,"Animation"
29,"Fantasy"
29,"Adventure"
30,"Thriller"
30,"Action"
30,"Mystery"
31,"Crime"
31,"Drama"
31,"Thriller"
32,"Western"
32,"Action"
32,"Adventure"
33,"War"
33,"Drama"
33,"History"
34,"Adventure"
34,"Action"
34,"Classic"
35,"Drama"
35,"Thriller"
35,"Psychological"
36,"War"
36,"Drama"
36,"Action"
37,"Animation"
37,"Fantasy"
37,"Adventure"
38,"Action"
38,"Drama"
38,"Classic"
39,"Crime"
39,"Comedy"
39,"Thriller"
40,"Drama"
40,"Biography"
40,"History"
41,"Animation"
41,"Action"
41,"Adventure"
42,"Sci-Fi"
42,"Fantasy"
42,"Adventure"
43,"Sci-Fi"
43,"Action"
43,"Adventure"
44,"Action"
44,"Crime"
44,"Drama"
45,"Action"
45,"Drama"
45,"Thriller"
46,"Crime"
46,"Drama"
46,"Thriller"
47,"Crime"
47,"Drama"
47,"Classic"
48,"Comedy"
48,"Drama"
48,"Classic"
49,"Crime"
49,"Drama"
49,"Thriller"
50,"Comedy"
50,"Drama"
50,"Family"
51,"Animation"
51,"Adventure"
51,"Drama"
52,"Drama"
52,"Thriller"
52,"Mystery"
53,"Fantasy"
53,"Adventure"
53,"Epic"
54,"Fantasy"
54,"Adventure"
54,"Epic"
55,"Sci-Fi"
55,"Action"
55,"Adventure"
56,"Horror"
56,"Thriller"
56,"Classic"
57,"Crime"
57,"Mystery"
57,"Thriller"
58,"Fantasy"
58,"Horror"
58,"Mystery"
59,"Action"
59,"Crime"
59,"Thriller"
60,"Animation"
60,"Sci-Fi"
60,"Adventure"
61,"Crime"
61,"Drama"
61,"Mystery"
62,"Drama"
62,"Thriller"
62,"Biography"
63,"Drama"
63,"Sci-Fi"
63,"Thriller"
64,"Animation"
64,"Comedy"
64,"Family"
65,"Animation"
65,"Fantasy"
65,"Romance"
66,"Drama"
66,"Crime"
66,"Thriller"
67,"Drama"
67,"Crime"
67,"Thriller"
68,"Comedy"
68,"Romance"
68,"Drama"
69,"Crime"
69,"Thriller"
69,"Mystery"
70,"Drama"
70,"Romance"
70,"Crime"
71,"Drama"
71,"Comedy"
71,"Romance"
72,"Musical"
72,"Drama"
72,"Classic"
73,"Animation"
73,"Adventure"
73,"Comedy"
74,"Fantasy"
74,"Romance"
74,"Drama"
75,"Crime"
75,"Thriller"
75,"Mystery"
76,"Drama"
76,"Biography"
76,"History"
77,"Animation"
77,"Comedy"
77,"Family"
78,"Drama"
78,"Romance"
78,"Classic"
79,"Drama"
79,"Family"
79,"Thriller"
80,"Thriller"
80,"Drama"
80,"Action"
81,"Horror"
81,"Thriller"
81,"Psychological"
82,"Crime"
82,"Drama"
82,"Mystery"
83,"Crime"
83,"Comedy"
83,"Thriller"
84,"Drama"
84,"Sports"
84,"Biography"
85,"Animation"
85,"Family"
85,"Fantasy"
86,"Sci-Fi"
86,"Adventure"
86,"Action"
87,"Action"
87,"Adventure"
87,"Thriller"
88,"War"
88,"Drama"
88,"History"
89,"Drama"
89,"Crime"
89,"Thriller"
90,"Comedy"
90,"Drama"
90,"Family"
91,"Crime"
91,"Drama"
91,"Thriller"
92,"Sci-Fi"
92,"Adventure"
92,"Action"
93,"Action"
93,"Drama"
93,"Thriller"
94,"Drama"
94,"Mystery"
94,"Thriller"
95,"Action"
95,"Comedy"
95,"Thriller"
96,"Animation"
96,"Adventure"
96,"Comedy"
97,"Crime"
97,"Thriller"
97,"Mystery"
98,"Action"
98,"Sci-Fi"
98,"Adventure"
