id,genre
1,Action
1,Drama
1,War
2,Horror
2,Sci-Fi
3,Crime
3,Drama
4,Drama
4,Musical
5,Crime
5,Mystery
5,Thriller
6,Action
6,Adventure
6,Drama
7,Action
7,Adventure
7,Sci-Fi
8,Biography
8,Drama
8,History
9,Drama
10,Drama
10,Romance
10,War
11,Comedy
11,Drama
11,Romance
12,Animation
12,Adventure
12,Drama
13,Comedy
13,Drama
13,Western
14,Comedy
14,War
15,Drama
15,Romance
15,Sci-Fi
16,Drama
17,Drama
17,Thriller
18,Action
18,Adventure
18,Drama
19,Drama
19,Romance
20,Biography
20,Crime
20,Drama
21,Animation
21,Drama
21,War
22,Adventure
22,Drama
22,Western
23,Adventure
23,Drama
23,War
24,Drama
24,Family
24,Fantasy
25,Comedy
25,Drama
25,Romance
26,Comedy
26,Drama
27,Drama
28,Comedy
28,Drama
28,Romance
29,Animation
29,Adventure
29,Fantasy
30,Action
30,Drama
30,Mystery
31,Crime
31,Drama
32,Drama
32,Western
33,Drama
33,War
34,Action
34,Adventure
35,Drama
36,Drama
36,War
37,Animation
37,Adventure
37,Family
38,Action
38,Drama
39,Comedy
39,Crime
40,Drama
41,Animation
41,Action
41,Adventure
42,Action
42,Adventure
42,Fantasy
43,Action
43,Adventure
43,Fantasy
44,Action
44,Crime
44,Drama
45,Action
45,Drama
45,Thriller
46,Crime
46,Drama
46,Thriller
47,Crime
47,Drama
48,Comedy
48,Drama
48,War
49,Crime
49,Drama
49,Fantasy
50,Comedy
50,Drama
51,Animation
51,Adventure
51,Drama
52,Drama
52,Mystery
52,Thriller
53,Adventure
53,Drama
53,Fantasy
54,Adventure
54,Drama
54,Fantasy
55,Action
55,Sci-Fi
56,Drama
56,Horror
57,Crime
57,Drama
57,Mystery
58,Drama
58,Fantasy
58,Horror
59,Action
59,Crime
59,Drama
60,Animation
60,Adventure
60,Family
61,Crime
61,Drama
61,Mystery
62,Crime
62,Drama
62,Mystery
63,Action
63,Drama
63,Sci-Fi
64,Animation
64,Adventure
64,Comedy
65,Animation
65,Family
65,Fantasy
66,Crime
66,Drama
66,Thriller
67,Crime
67,Drama
67,Thriller
68,Comedy
68,Drama
68,Romance
69,Crime
69,Drama
69,Thriller
70,Drama
70,History
70,War
71,Comedy
71,Drama
72,Biography
72,Drama
72,Family
73,Animation
73,Adventure
73,Comedy
74,Comedy
74,Drama
74,Fantasy
75,Crime
75,Drama
75,Mystery
76,Biography
76,Drama
76,History
77,Animation
77,Comedy
77,Family
78,Comedy
78,Drama
79,Drama
79,Family
80,Drama
80,Romance
80,Thriller
81,Drama
81,Thriller
82,Crime
82,Drama
82,Mystery
83,Comedy
83,Crime
84,Action
84,Drama
84,Sport
85,Animation
85,Adventure
85,Comedy
86,Comedy
86,Drama
87,Action
87,Adventure
87,Thriller
88,Drama
88,Mystery
88,War
89,Drama
89,Romance
90,Comedy
90,Drama
90,Romance
91,Action
91,Thriller
92,Action
92,Adventure
92,Sci-Fi
93,Drama
93,History
93,Thriller
94,Drama
95,Action
95,Adventure
95,Comedy
96,Animation
96,Adventure
96,Comedy
97,Crime
97,Drama
97,Film-Noir
98,Action
98,Adventure
98,Fantasy
