d_id,u_id,rating,review
1,2,4,"Solid as a rock... if the rock had good acting."
1,13,4,"Well-crafted and engaging."
1,14,2,"Not great, but not the worst."
1,17,1,"Horrific. My eyes hurt watching this."
1,18,4,"This movie slaps! 🎬🔥"
1,20,5,"This movie is straight fire! 🔥🔥🔥"
1,22,5,"I'm shook. Best movie ever."
1,29,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
1,33,5,"One does not simply watch a better movie."
1,38,2,"Mediocre at best."
1,41,2,"I'm crying inside... from boredom."
1,45,5,"A cinematic experience worthy of a standing ovation."
1,46,4,"Highkey enjoyed this one."
2,6,3,"Good in parts, but overall average."
2,8,1,"Worst film I've ever seen."
2,9,5,"Mind blown! 🤯"
2,13,1,"It's not me, it's you... and the movie."
2,26,4,"Highly recommend watching this."
2,30,3,"Neither here nor there."
2,33,1,"Expectation vs. Reality: Complete fail."
2,37,3,"Satisfactory, like a lukewarm cup of tea."
2,41,4,"Good movie! 10/10 would watch again. 👍"
2,45,3,"Neither here nor there."
2,47,1,"This film is as useful as a screen door on a submarine."
2,49,4,"This movie slaps! 🎬🔥"
2,50,2,"Kinda sus, not sure what's happening here. 🤨"
3,1,1,"I had to break up for recommending this to my ex."
3,3,4,"Well-crafted and engaging."
3,8,2,"Kinda sus, not sure what's happening here. 🤨"
3,9,1,"More disappointing than the sequel."
3,12,1,"Expectation vs. Reality: Complete fail."
3,14,5,"Absolute masterpiece! Chef's kiss! 👌💯"
3,16,5,"This deserves all the Oscars! 🏆"
3,18,2,"Average performances, nothing special."
3,20,3,"Neither here nor there."
3,21,3,"Neither here nor there."
3,24,3,"Middle of the road, like a plain slice of bread."
3,29,4,"A+ for effort and execution."
3,34,4,"Well-crafted and engaging."
3,35,2,"Mediocre at best."
3,37,3,"Good in parts, but overall average."
3,42,4,"Solid as a rock... if the rock had good acting."
4,4,1,"This film is as useful as a screen door on a submarine."
4,8,2,"Mediocre at best."
4,12,1,"Expectation vs. Reality: Complete fail."
4,16,5,"Everything about this film is lit. 🔥"
4,20,1,"This film is as useful as a screen door on a submarine."
4,32,4,"Highly recommend watching this."
4,38,5,"Everything about this film is lit. 🔥"
4,39,5,"This deserves all the Oscars! 🏆"
4,41,1,"Disgusting movie dude."
4,42,3,"Good in parts, but overall average."
4,45,4,"Solid direction and cinematography."
4,47,1,"Disgusting movie dude."
5,1,2,"Disappointing compared to expectations."
5,4,2,"Kinda sus, not sure what's happening here. 🤨"
5,6,3,"Neither here nor there."
5,7,5,"One does not simply watch a better movie."
5,8,3,"Just another day in movie paradise."
5,9,5,"One does not simply watch a better movie."
5,11,2,"Not great, but not the worst."
5,17,5,"Absolute masterpiece! Chef's kiss! 👌💯"
5,19,4,"Big brain movie with great twists."
5,20,5,"A cinematic experience worthy of a standing ovation."
5,22,5,"Outstanding in every aspect."
5,23,3,"A standard movie experience."
5,31,4,"Solid as a rock... if the rock had good acting."
5,37,3,"Satisfactory, like a lukewarm cup of tea."
5,47,1,"Disgusting movie dude."
5,49,2,"It's a no from me, dawg."
6,1,4,"Highly recommend watching this."
6,7,4,"This movie slaps! 🎬🔥"
6,23,3,"Satisfactory, like a lukewarm cup of tea."
6,24,5,"Everything about this film is lit. 🔥"
6,26,3,"Middle of the road, like a plain slice of bread."
6,27,2,"Meh. It was a solid 2 from me."
6,31,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
6,36,4,"Good movie! 10/10 would watch again. 👍"
6,50,2,"Lowkey disappointing."
7,2,1,"It's not me, it's you... and the movie."
7,5,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
7,10,3,"Good in parts, but overall average."
7,14,5,"This movie is straight fire! 🔥🔥🔥"
7,15,1,"Expectation vs. Reality: Complete fail."
7,17,2,"I'm crying inside... from boredom."
7,23,5,"A cinematic experience worthy of a standing ovation."
7,25,5,"This movie is straight fire! 🔥🔥🔥"
7,26,1,"Expectation vs. Reality: Complete fail."
7,30,3,"Neither here nor there."
7,31,4,"This movie slaps! 🎬🔥"
7,32,4,"Big brain movie with great twists."
7,44,5,"I'm shook. Best movie ever."
7,45,4,"On point! Nailed it."
7,50,2,"Lowkey disappointing."
8,9,1,"Expectation vs. Reality: Complete fail."
8,10,4,"Solid as a rock... if the rock had good acting."
8,15,5,"This movie is straight fire! 🔥🔥🔥"
8,17,4,"Good movie! 10/10 would watch again. 👍"
8,19,1,"Well, that escalated quickly... to awful."
8,23,4,"Well-crafted and engaging."
8,36,5,"Everything about this film is lit. 🔥"
8,44,4,"On point! Nailed it."
8,45,4,"Highkey enjoyed this one."
8,46,1,"This movie was a complete disaster.I can't believe I watched the entire movie."
9,8,1,"Well, that escalated quickly... to awful."
9,13,4,"This movie slaps! 🎬🔥"
9,19,1,"It's not me, it's you... and the movie."
9,21,3,"A standard movie experience."
9,29,3,"Neither here nor there."
9,34,1,"Well, that escalated quickly... to awful."
9,39,1,"I had to break up for recommending this to my ex."
9,41,3,"Average movie, worth a watch if you're bored."
9,48,4,"Highkey enjoyed this one."
9,49,3,"Average movie, worth a watch if you're bored."
10,1,3,"Aight, it's aight."
10,4,3,"Just another day in movie paradise."
10,8,3,"Middle of the road, like a plain slice of bread."
10,11,1,"Disgusting movie dude."
10,19,1,"Horrific. My eyes hurt watching this."
10,37,5,"I'm shook. Best movie ever."
10,45,2,"Mediocre at best."
11,2,2,"Disappointing compared to expectations."
11,4,2,"It's a no from me, dawg."
11,7,2,"Not great, but not the worst."
11,18,5,"A cinematic experience worthy of a standing ovation."
11,19,4,"This movie slaps! 🎬🔥"
11,35,3,"It's a 3, because 2 was too harsh and 4 was too kind."
11,45,1,"This film is as useful as a screen door on a submarine."
11,46,1,"I had to break up for recommending this to my ex."
12,3,5,"Absolute masterpiece! Chef's kiss! 👌💯"
12,4,2,"Lowkey disappointing."
12,6,5,"Absolute masterpiece! Chef's kiss! 👌💯"
12,7,3,"Good in parts, but overall average."
12,8,4,"Well-crafted and engaging."
12,11,4,"Highly recommend watching this."
12,14,5,"A cinematic experience worthy of a standing ovation."
12,17,5,"Everything about this film is lit. 🔥"
12,24,1,"Expectation vs. Reality: Complete fail."
12,25,2,"Average performances, nothing special."
12,30,3,"Middle of the road, like a plain slice of bread."
12,32,1,"It's not me, it's you... and the movie."
12,33,1,"This film is as useful as a screen door on a submarine."
12,40,4,"Big brain movie with great twists."
12,43,1,"This film is as useful as a screen door on a submarine."
12,44,5,"A cinematic experience worthy of a standing ovation."
12,50,2,"Kinda sus, not sure what's happening here. 🤨"
13,1,5,"This deserves all the Oscars! 🏆"
13,8,2,"Lowkey disappointing."
13,9,2,"Average performances, nothing special."
13,11,4,"Big brain movie with great twists."
13,17,3,"Good in parts, but overall average."
13,24,4,"Solid as a rock... if the rock had good acting."
13,37,5,"A cinematic experience worthy of a standing ovation."
13,45,5,"Outstanding in every aspect."
13,46,3,"Good in parts, but overall average."
13,47,2,"Lowkey disappointing."
14,8,3,"Middle of the road, like a plain slice of bread."
14,13,4,"Solid as a rock... if the rock had good acting."
14,22,5,"Mind blown! 🤯"
14,29,4,"Highly recommend watching this."
14,35,2,"It's a no from me, dawg."
14,36,4,"Good movie! 10/10 would watch again. 👍"
14,38,3,"Aight, it's aight."
14,45,5,"A cinematic experience worthy of a standing ovation."
15,1,4,"Good movie! 10/10 would watch again. 👍"
15,4,1,"Well, that escalated quickly... to awful."
15,19,2,"Mediocre at best."
15,25,1,"Worst film I've ever seen."
15,30,3,"Good in parts, but overall average."
15,31,2,"Not great, but not the worst."
15,46,1,"More disappointing than the sequel."
15,49,4,"Big brain movie with great twists."
15,50,4,"Highkey enjoyed this one."
16,7,3,"Neither here nor there."
16,8,4,"Highkey enjoyed this one."
16,9,4,"Good movie! 10/10 would watch again. 👍"
16,12,2,"Not great, but not the worst."
16,14,5,"I'm shook. Best movie ever."
16,20,4,"On point! Nailed it."
16,22,3,"Just another day in movie paradise."
16,23,5,"A cinematic experience worthy of a standing ovation."
16,29,3,"Middle of the road, like a plain slice of bread."
16,30,3,"Just another day in movie paradise."
16,34,3,"Neither here nor there."
16,38,5,"Mind blown! 🤯"
16,42,2,"Lowkey disappointing."
16,43,2,"Lowkey disappointing."
16,46,4,"Good movie! 10/10 would watch again. 👍"
16,47,5,"Everything about this film is lit. 🔥"
16,50,3,"It was okay, nothing extra special. 🤷‍♂️"
17,5,2,"Skibidi"
17,9,4,"Highkey enjoyed this one."
17,20,1,"Well, that escalated quickly... to awful."
17,23,1,"More disappointing than the sequel."
17,24,5,"Absolute masterpiece! Chef's kiss! 👌💯"
17,35,1,"Worst film I've ever seen."
17,37,3,"Average movie, worth a watch if you're bored."
17,40,3,"Satisfactory, like a lukewarm cup of tea."
17,41,5,"A must-watch for everyone."
17,47,5,"This deserves all the Oscars! 🏆"
18,9,4,"A+ for effort and execution."
18,21,3,"Neither here nor there."
