1,2,4,"Well-crafted and engaging.","This movie slaps! 🎬🔥"
1,13,4,"Highkey enjoyed this one.","Big brain movie with great twists."
1,14,2,"Meh. It was a solid 2 from me.","Skibidi"
1,17,1,"It's not me, it's you... and the movie.","I had to break up for recommending this to my ex."
1,18,4,"Solid as a rock... if the rock had good acting.","A+ for effort and execution."
1,20,5,"Absolute masterpiece! Chef's kiss! 👌💯","A must-watch for everyone."
1,22,5,"This movie is straight fire! 🔥🔥🔥","I'm shook. Best movie ever."
1,29,1,"Well, that escalated quickly... to awful.","Worst film I've ever seen."
1,33,5,"This deserves all the Oscars! 🏆","I'm shook. Best movie ever."
1,38,2,"Kinda sus, not sure what's happening here. 🤨","Not great, but not the worst."
1,41,2,"Kinda sus, not sure what's happening here. 🤨","Kinda sus, not sure what's happening here. 🤨"
1,45,5,"Everything about this film is lit. 🔥","A must-watch for everyone."
1,46,4,"Highkey enjoyed this one.","Highkey enjoyed this one."
2,6,3,"Middle of the road, like a plain slice of bread.","Middle of the road, like a plain slice of bread."
2,8,1,"Worst film I've ever seen.","This movie was a complete disaster.I can't believe I watched the entire movie."
2,9,5,"Absolute masterpiece! Chef's kiss! 👌💯","Mind blown! 🤯"
2,13,1,"Disgusting movie dude.","This film is as useful as a screen door on a submarine."
2,26,4,"Good movie! 10/10 would watch again. 👍","Highly recommend watching this."
2,30,3,"It was okay, nothing extra special. 🤷‍♂️","Just another day in movie paradise."
2,33,1,"Expectation vs. Reality: Complete fail.","This film is as useful as a screen door on a submarine."
2,37,3,"A standard movie experience.","Just another day in movie paradise."
2,41,4,"Good movie! 10/10 would watch again. 👍","On point! Nailed it."
2,45,3,"Satisfactory, like a lukewarm cup of tea.","It was okay, nothing extra special. 🤷‍♂️"
2,47,1,"Expectation vs. Reality: Complete fail.","Worst film I've ever seen."
2,49,4,"Highly recommend watching this.","Solid as a rock... if the rock had good acting."
2,50,2,"Disappointing compared to expectations.","Lowkey disappointing."
3,1,1,"Expectation vs. Reality: Complete fail.","More disappointing than the sequel."
3,3,4,"Highkey enjoyed this one.","Highly recommend watching this."
3,8,2,"Skibidi","Not great, but not the worst."
3,9,1,"Horrific. My eyes hurt watching this.","I had to break up for recommending this to my ex."
3,12,1,"I had to break up for recommending this to my ex.","Horrific. My eyes hurt watching this."
3,14,5,"A cinematic experience worthy of a standing ovation.","This deserves all the Oscars! 🏆"
3,16,5,"One does not simply watch a better movie.","I'm shook. Best movie ever."
3,18,2,"Kinda sus, not sure what's happening here. 🤨","It's a no from me, dawg."
3,20,3,"Satisfactory, like a lukewarm cup of tea.","A standard movie experience."
3,21,3,"Satisfactory, like a lukewarm cup of tea.","Aight, it's aight."
3,24,3,"It's a 3, because 2 was too harsh and 4 was too kind.","It was okay, nothing extra special. 🤷‍♂️"
3,29,4,"Solid as a rock... if the rock had good acting.","Well-crafted and engaging."
3,34,4,"Solid direction and cinematography.","Good movie! 10/10 would watch again. 👍"
3,35,2,"Average performances, nothing special.","Kinda sus, not sure what's happening here. 🤨"
3,37,3,"Aight, it's aight.","Good in parts, but overall average."
3,42,4,"Solid direction and cinematography.","Solid direction and cinematography."
4,4,1,"I had to break up for recommending this to my ex.","This movie was a complete disaster.I can't believe I watched the entire movie."
4,8,2,"Average performances, nothing special.","Not great, but not the worst."
4,12,1,"This film is as useful as a screen door on a submarine.","This movie was a complete disaster.I can't believe I watched the entire movie."
4,16,5,"I'm shook. Best movie ever.","Absolute masterpiece! Chef's kiss! 👌💯"
4,20,1,"Worst film I've ever seen.","This movie was a complete disaster.I can't believe I watched the entire movie."
4,32,4,"This movie slaps! 🎬🔥","Highly recommend watching this."
4,38,5,"A must-watch for everyone.","This deserves all the Oscars! 🏆"
4,39,5,"Outstanding in every aspect.","A must-watch for everyone."
4,41,1,"More disappointing than the sequel.","Well, that escalated quickly... to awful."
4,42,3,"It's a 3, because 2 was too harsh and 4 was too kind.","Average movie, worth a watch if you're bored."
4,45,4,"On point! Nailed it.","On point! Nailed it."
4,47,1,"I had to break up for recommending this to my ex.","This film is as useful as a screen door on a submarine."
5,1,2,"Meh. It was a solid 2 from me.","I'm crying inside... from boredom."
5,4,2,"Skibidi","Meh. It was a solid 2 from me."
5,6,3,"Just another day in movie paradise.","Average movie, worth a watch if you're bored."
5,7,5,"Mind blown! 🤯","A cinematic experience worthy of a standing ovation."
5,8,3,"Aight, it's aight.","Good in parts, but overall average."
5,9,5,"One does not simply watch a better movie.","I'm shook. Best movie ever."
5,11,2,"Not great, but not the worst.","Meh. It was a solid 2 from me."
